model,split,accuracy,macro_f1,macro_precision,macro_recall
majority_class,val,0.874274661508704,0.4664602683178535,0.437137330754352,0.5
majority_class,test,0.8734299516908213,0.4662197008767406,0.43671497584541064,0.5
random_stratified,val,0.7659574468085106,0.48128524046434495,0.48181127070393376,0.48086283185840706
random_stratified,test,0.77487922705314,0.5022282127442623,0.5022296544035675,0.5023306086604067
logistic_regression,val,0.9748549323017408,0.9439136131115803,0.935608541857723,0.9526889040163377
logistic_regression,test,0.9748792270531401,0.9435593476291151,0.9407165363519664,0.9464551104505843
multinomial_nb,val,0.9700193423597679,0.9238859167337479,0.9834224598930481,0.8807692307692307
multinomial_nb,test,0.9642512077294686,0.9077506775067751,0.9803400637619554,0.8587786259541985
linear_svm,val,0.9825918762088974,0.9596055178879928,0.9692130450194967,0.9505275697753575
linear_svm,test,0.9816425120772947,0.9575109382596014,0.9686714351474806,0.9470630953185165
