model,sweep,value,batch_size,embed_dim,hidden_size,learning_rate,dropout,best_dev_loss,best_dev_acc,test_loss,test_acc,elapsed_seconds
TextCNN,batch_size,8,8,128,128,0.001,0.3,0.408347,0.870000,0.417556,0.842500,5.69
TextCNN,batch_size,16,16,128,128,0.001,0.3,0.362757,0.865000,0.366850,0.877500,3.49
TextCNN,batch_size,32,32,128,128,0.001,0.3,0.363432,0.857500,0.358105,0.875000,3.05
TextCNN,batch_size,64,64,128,128,0.001,0.3,0.402096,0.860000,0.403482,0.860000,2.10
TextCNN,embedding_size,64,32,64,128,0.001,0.3,0.463239,0.857500,0.441876,0.840000,2.99
TextCNN,embedding_size,128,32,128,128,0.001,0.3,0.363432,0.857500,0.358105,0.875000,2.14
TextCNN,embedding_size,256,32,256,128,0.001,0.3,0.320018,0.895000,0.295307,0.897500,3.85
TextCNN,hidden_size,64,32,128,64,0.001,0.3,0.382390,0.870000,0.384004,0.867500,1.50
TextCNN,hidden_size,128,32,128,128,0.001,0.3,0.363432,0.857500,0.358105,0.875000,2.36
TextCNN,hidden_size,256,32,128,256,0.001,0.3,0.354355,0.910000,0.368764,0.880000,3.06
TextCNN,learning_rate,0.01,32,128,128,0.01,0.3,1.160486,0.872500,0.817622,0.882500,2.39
TextCNN,learning_rate,0.005,32,128,128,0.005,0.3,0.493867,0.877500,0.460651,0.877500,2.19
TextCNN,learning_rate,0.001,32,128,128,0.001,0.3,0.363432,0.857500,0.358105,0.875000,2.39
TextCNN,learning_rate,0.0005,32,128,128,0.0005,0.3,0.442893,0.850000,0.447098,0.857500,2.24
TextCNN,learning_rate,0.0001,32,128,128,0.0001,0.3,0.926248,0.780000,0.924383,0.727500,3.23
TextCNN,dropout,0.1,32,128,128,0.001,0.1,0.379816,0.877500,0.386884,0.875000,2.94
TextCNN,dropout,0.2,32,128,128,0.001,0.2,0.358842,0.862500,0.348105,0.880000,2.88
TextCNN,dropout,0.3,32,128,128,0.001,0.3,0.363432,0.857500,0.358105,0.875000,2.51
TextCNN,dropout,0.4,32,128,128,0.001,0.4,0.363719,0.862500,0.367854,0.872500,2.83
TextCNN,dropout,0.5,32,128,128,0.001,0.5,0.373140,0.880000,0.377010,0.875000,2.98
BiLSTM,batch_size,8,8,128,128,0.001,0.3,0.419613,0.865000,0.452889,0.852500,8.26
BiLSTM,batch_size,16,16,128,128,0.001,0.3,0.437296,0.840000,0.464836,0.815000,4.62
BiLSTM,batch_size,32,32,128,128,0.001,0.3,0.489789,0.837500,0.485384,0.835000,4.12
BiLSTM,batch_size,64,64,128,128,0.001,0.3,0.499283,0.820000,0.462889,0.820000,2.91
BiLSTM,embedding_size,64,32,64,128,0.001,0.3,0.533853,0.822500,0.518315,0.825000,2.57
BiLSTM,embedding_size,128,32,128,128,0.001,0.3,0.489789,0.837500,0.485384,0.835000,3.25
BiLSTM,embedding_size,256,32,256,128,0.001,0.3,0.441425,0.862500,0.403994,0.862500,4.06
BiLSTM,hidden_size,64,32,128,64,0.001,0.3,0.466313,0.842500,0.440691,0.835000,2.35
BiLSTM,hidden_size,128,32,128,128,0.001,0.3,0.489789,0.837500,0.485384,0.835000,3.38
BiLSTM,hidden_size,256,32,128,256,0.001,0.3,0.479403,0.827500,0.480635,0.822500,5.90
BiLSTM,learning_rate,0.01,32,128,128,0.01,0.3,0.417105,0.875000,0.390504,0.877500,3.04
BiLSTM,learning_rate,0.005,32,128,128,0.005,0.3,0.397707,0.882500,0.421420,0.860000,3.51
BiLSTM,learning_rate,0.001,32,128,128,0.001,0.3,0.489789,0.837500,0.485384,0.835000,3.81
BiLSTM,learning_rate,0.0005,32,128,128,0.0005,0.3,0.520549,0.807500,0.464471,0.842500,2.94
BiLSTM,learning_rate,0.0001,32,128,128,0.0001,0.3,1.232082,0.517500,1.219464,0.537500,3.32
BiLSTM,dropout,0.1,32,128,128,0.001,0.1,0.454341,0.835000,0.479702,0.827500,3.27
BiLSTM,dropout,0.2,32,128,128,0.001,0.2,0.515107,0.830000,0.467228,0.842500,3.03
BiLSTM,dropout,0.3,32,128,128,0.001,0.3,0.489789,0.837500,0.485384,0.835000,3.51
BiLSTM,dropout,0.4,32,128,128,0.001,0.4,0.509313,0.817500,0.468597,0.842500,3.57
BiLSTM,dropout,0.5,32,128,128,0.001,0.5,0.466295,0.830000,0.420136,0.842500,3.52
