model,sweep,value,epoch,batch_size,embed_dim,hidden_size,learning_rate,dropout,train_loss,train_acc,dev_loss,dev_acc
TextCNN,batch_size,8,1,8,128,128,0.001,0.3,0.717084,0.730500,0.408347,0.870000
TextCNN,batch_size,8,2,8,128,128,0.001,0.3,0.209734,0.934500,0.370413,0.857500
TextCNN,batch_size,8,3,8,128,128,0.001,0.3,0.078582,0.980000,0.370533,0.865000
TextCNN,batch_size,16,1,16,128,128,0.001,0.3,0.793979,0.691500,0.453297,0.850000
TextCNN,batch_size,16,2,16,128,128,0.001,0.3,0.262267,0.922000,0.362757,0.865000
TextCNN,batch_size,16,3,16,128,128,0.001,0.3,0.110503,0.979000,0.349027,0.860000
TextCNN,batch_size,32,1,32,128,128,0.001,0.3,0.901262,0.645500,0.524829,0.842500
TextCNN,batch_size,32,2,32,128,128,0.001,0.3,0.338924,0.904000,0.405906,0.842500
TextCNN,batch_size,32,3,32,128,128,0.001,0.3,0.172005,0.962500,0.363432,0.857500
TextCNN,batch_size,64,1,64,128,128,0.001,0.3,1.046366,0.577000,0.694130,0.750000
TextCNN,batch_size,64,2,64,128,128,0.001,0.3,0.458801,0.870500,0.470316,0.852500
TextCNN,batch_size,64,3,64,128,128,0.001,0.3,0.264103,0.939000,0.402096,0.860000
TextCNN,embedding_size,64,1,32,64,128,0.001,0.3,1.134569,0.507500,0.789023,0.767500
TextCNN,embedding_size,64,2,32,64,128,0.001,0.3,0.594187,0.812000,0.554078,0.840000
TextCNN,embedding_size,64,3,32,64,128,0.001,0.3,0.362396,0.896000,0.463239,0.857500
TextCNN,embedding_size,128,1,32,128,128,0.001,0.3,0.901262,0.645500,0.524829,0.842500
TextCNN,embedding_size,128,2,32,128,128,0.001,0.3,0.338924,0.904000,0.405906,0.842500
TextCNN,embedding_size,128,3,32,128,128,0.001,0.3,0.172005,0.962500,0.363432,0.857500
TextCNN,embedding_size,256,1,32,256,128,0.001,0.3,0.737857,0.714500,0.412716,0.860000
TextCNN,embedding_size,256,2,32,256,128,0.001,0.3,0.206270,0.941500,0.340863,0.887500
TextCNN,embedding_size,256,3,32,256,128,0.001,0.3,0.076054,0.990500,0.320018,0.895000
TextCNN,hidden_size,64,1,32,128,64,0.001,0.3,1.013783,0.579000,0.618231,0.812500
TextCNN,hidden_size,64,2,32,128,64,0.001,0.3,0.436931,0.868000,0.447049,0.862500
TextCNN,hidden_size,64,3,32,128,64,0.001,0.3,0.258528,0.925500,0.382390,0.870000
TextCNN,hidden_size,128,1,32,128,128,0.001,0.3,0.901262,0.645500,0.524829,0.842500
TextCNN,hidden_size,128,2,32,128,128,0.001,0.3,0.338924,0.904000,0.405906,0.842500
TextCNN,hidden_size,128,3,32,128,128,0.001,0.3,0.172005,0.962500,0.363432,0.857500
TextCNN,hidden_size,256,1,32,128,256,0.001,0.3,0.835231,0.664500,0.453669,0.855000
TextCNN,hidden_size,256,2,32,128,256,0.001,0.3,0.240337,0.937000,0.354355,0.910000
TextCNN,hidden_size,256,3,32,128,256,0.001,0.3,0.107731,0.982500,0.339780,0.890000
TextCNN,learning_rate,0.01,1,32,128,128,0.01,0.3,1.079537,0.714500,0.606333,0.832500
TextCNN,learning_rate,0.01,2,32,128,128,0.01,0.3,0.341752,0.910000,1.028874,0.817500
TextCNN,learning_rate,0.01,3,32,128,128,0.01,0.3,0.288488,0.941500,1.160486,0.872500
TextCNN,learning_rate,0.005,1,32,128,128,0.005,0.3,0.726331,0.729000,0.420164,0.867500
