name,epoch,train_loss,dev_uas,dev_las
random_100_adam,1,3.419651,0.593655,0.398414
random_100_adam,2,2.068381,0.644905,0.453935
random_100_adam,3,1.534595,0.656803,0.473764
random_100_adam,4,1.199740,0.658023,0.495729
random_100_adam,5,0.997553,0.657413,0.497865
random_300_adam,1,3.341181,0.608603,0.407261
random_300_adam,2,1.896107,0.646126,0.465528
random_300_adam,3,1.328326,0.640940,0.469799
random_300_adam,4,0.983104,0.655583,0.499085
random_300_adam,5,0.771280,0.657108,0.488408
giga_sample_100_adam,1,3.328361,0.585723,0.412447
giga_sample_100_adam,2,2.066005,0.643990,0.466443
giga_sample_100_adam,3,1.570026,0.650397,0.471324
giga_sample_100_adam,4,1.246983,0.672361,0.503051
giga_sample_100_adam,5,1.022636,0.676022,0.497865
charavg_100_adam,1,3.624802,0.471934,0.343502
charavg_100_adam,2,2.293984,0.539658,0.403905
charavg_100_adam,3,1.862956,0.582367,0.435937
charavg_100_adam,4,1.594484,0.592129,0.454545
charavg_100_adam,5,1.462662,0.607993,0.465833
random_100_sgd,1,4.681263,0.389872,0.233069
random_100_sgd,2,3.162366,0.507932,0.313606
random_100_sgd,3,2.775692,0.567419,0.388652
random_100_sgd,4,2.562492,0.575656,0.395363
random_100_sgd,5,2.438866,0.581757,0.402074
charavg_100_sgd,1,4.655397,0.382245,0.221477
charavg_100_sgd,2,2.844909,0.477120,0.338316
charavg_100_sgd,3,2.276102,0.539048,0.392007
charavg_100_sgd,4,2.020977,0.542099,0.402074
charavg_100_sgd,5,1.845179,0.565589,0.421599
